epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,13381.3,0.30437,0.9592,0.91863,0.77179,0.70213,0.73871,0.72697,0.20964,0.55736,0.82705,0.00643101,0.00643101,0.00643101
43,13698.7,0.30361,0.94012,0.91789,0.81205,0.69247,0.74423,0.73204,0.21068,0.54948,0.82797,0.00628101,0.00628101,0.00628101
44,14017.4,0.30278,0.92669,0.91626,0.79778,0.70308,0.74645,0.73463,0.20766,0.54433,0.82484,0.00612981,0.00612981,0.00612981
45,14335,nan,nan,nan,0.79734,0.71033,0.74724,0.73509,nan,nan,nan,0.00597754,0.00597754,0.00597754
46,14651.2,nan,nan,nan,0.79457,0.71189,0.74851,0.73659,nan,nan,nan,0.00582435,0.00582435,0.00582435
47,14966.2,nan,nan,nan,0.79663,0.71963,0.7551,0.74291,nan,nan,nan,0.0056704,0.0056704,0.0056704
48,15281,0.29373,0.8719,0.91504,0.79863,0.71616,0.75598,0.7436,nan,nan,nan,0.00551584,0.00551584,0.00551584
49,15595.4,nan,nan,nan,0.81321,0.70523,0.75798,0.74565,nan,nan,nan,0.00536081,0.00536081,0.00536081
50,15909,nan,nan,nan,0.81828,0.71406,0.76026,0.74778,nan,nan,nan,0.00520548,0.00520548,0.00520548
51,16221.9,0.28825,0.83477,0.91071,0.81573,0.71552,0.76246,0.74961,nan,nan,nan,0.00505,0.00505,0.00505
52,16535,0.28571,0.81248,0.91011,0.83321,0.71124,0.7651,0.75255,nan,nan,nan,0.00489452,0.00489452,0.00489452
53,16847.9,0.2856,0.80941,0.91144,0.81784,0.72911,0.76975,0.75729,nan,nan,nan,0.00473919,0.00473919,0.00473919
54,17160.9,0.28274,0.79122,0.9093,0.81172,0.73441,0.77125,0.759,nan,nan,nan,0.00458416,0.00458416,0.00458416
55,17474.8,0.27995,0.78332,0.90639,0.8259,0.72656,0.77368,0.76152,nan,nan,nan,0.0044296,0.0044296,0.0044296
56,17787.7,0.28003,0.76411,0.90787,0.83255,0.72462,0.77596,0.76329,nan,nan,nan,0.00427565,0.00427565,0.00427565
57,18100.7,0.27723,0.75506,0.90656,0.8343,0.72484,0.77659,0.76373,nan,nan,nan,0.00412246,0.00412246,0.00412246
58,18413.8,0.27577,0.74753,0.90584,0.85968,0.70956,0.77829,0.7657,nan,nan,nan,0.00397019,0.00397019,0.00397019
59,18726.9,0.27555,0.73531,0.90659,0.84794,0.72195,0.78038,0.76744,nan,nan,nan,0.00381899,0.00381899,0.00381899
60,19040.4,0.26973,0.71878,0.90367,0.84884,0.72319,0.78123,0.7687,nan,nan,nan,0.00366899,0.00366899,0.00366899
61,19353.9,0.2703,0.70067,0.90321,0.84903,0.72513,0.78349,0.77107,nan,nan,nan,0.00352037,0.00352037,0.00352037
62,19667.2,nan,nan,nan,0.84855,0.72858,0.78418,0.77191,nan,nan,nan,0.00337325,0.00337325,0.00337325
63,19979.8,nan,nan,nan,0.85522,0.7268,0.7859,0.77298,nan,nan,nan,0.00322778,0.00322778,0.00322778
64,20292.3,0.26566,0.6863,0.90182,0.85824,0.72688,0.78707,0.77429,nan,nan,nan,0.00308412,0.00308412,0.00308412
65,20604.8,0.26491,0.68063,0.89985,0.85495,0.72837,0.78747,0.77501,nan,nan,nan,0.00294239,0.00294239,0.00294239
66,20916.8,nan,nan,nan,0.86012,0.72538,0.78777,0.77536,nan,nan,nan,0.00280275,0.00280275,0.00280275
67,21228.9,nan,nan,nan,0.85149,0.73514,0.78822,0.77585,nan,nan,nan,0.00266532,0.00266532,0.00266532
68,21540.4,0.26454,0.6688,0.90202,0.85047,0.73299,0.78872,0.77623,nan,nan,nan,0.00253024,0.00253024,0.00253024
69,21851.7,nan,nan,nan,0.85212,0.73406,0.78768,0.77611,nan,nan,nan,0.00239766,0.00239766,0.00239766
70,22161.6,nan,nan,nan,0.82073,0.74526,0.7869,0.77578,nan,nan,nan,0.00226769,0.00226769,0.00226769
71,22471.2,nan,nan,nan,0.85882,0.72138,0.78675,0.77567,nan,nan,nan,0.00214046,0.00214046,0.00214046
72,22781,0.28028,1.35208,0.90982,0.86048,0.71931,0.7849,0.77388,nan,nan,nan,0.00201611,0.00201611,0.00201611
73,23090.7,0.28361,1.73608,0.91488,0.85102,0.723,0.78448,0.77341,nan,nan,nan,0.00189475,0.00189475,0.00189475
74,23400.5,0.28359,2.08592,0.91478,0.82016,0.74322,0.78544,0.77447,nan,nan,nan,0.00177651,0.00177651,0.00177651
75,23710,nan,nan,nan,0.81613,0.74264,0.78569,0.77481,nan,nan,nan,0.00166149,0.00166149,0.00166149
76,24019.7,nan,nan,nan,0.83038,0.73028,0.7851,0.77433,nan,nan,nan,0.00154982,0.00154982,0.00154982
77,24329,0.30031,12.044,0.92787,0.82254,0.74095,0.7855,0.77462,nan,nan,nan,0.00144161,0.00144161,0.00144161
78,24639.6,0.29995,15.2064,0.92869,0.82186,0.73931,0.78605,0.77532,nan,nan,nan,0.00133695,0.00133695,0.00133695
79,24948.9,0.30289,18.4341,0.92969,0.82568,0.73403,0.78377,0.7732,nan,nan,nan,0.00123596,0.00123596,0.00123596
80,25258.6,nan,nan,nan,0.82826,0.73138,0.78242,0.77197,nan,nan,nan,0.00113873,0.00113873,0.00113873
81,25568.3,nan,nan,nan,0.82547,0.73089,0.78166,0.77135,nan,nan,nan,0.00104537,0.00104537,0.00104537
82,25878,nan,nan,nan,0.82426,0.73061,0.77929,0.76884,nan,nan,nan,0.000955951,0.000955951,0.000955951
83,26187.4,nan,nan,nan,0.82186,0.73136,0.77891,0.76819,nan,nan,nan,0.000870577,0.000870577,0.000870577
84,26496.9,nan,nan,nan,0.82003,0.7299,0.77716,0.76631,nan,nan,nan,0.000789327,0.000789327,0.000789327
85,26806.7,0.72094,130.351,1.02404,0.8175,0.72961,0.77601,0.76484,nan,nan,nan,0.000712282,0.000712282,0.000712282
86,27117,nan,nan,nan,0.81777,0.72914,0.77502,0.76385,nan,nan,nan,0.000639518,0.000639518,0.000639518
87,27426.5,0.73601,131.335,1.02572,0.81876,0.7289,0.77352,0.7618,nan,nan,nan,0.000571106,0.000571106,0.000571106
88,27735.8,0.74267,131.664,1.02826,0.81809,0.72932,0.77401,0.76163,nan,nan,nan,0.000507115,0.000507115,0.000507115
